date,open,close,low,high,volume,money,open_interest,settle
2023-09-18,9450,9346,9290,9468,123567,5791585290,35656,9374
2023-09-19,9370,9326,9290,9436,98362,4605308840,38861,9364
2023-09-20,9358,9310,9254,9564,217136,10220591520,47627,9414
2023-09-21,9344,9134,9132,9346,100829,4657291510,45964,9238
2023-09-22,9172,9218,9162,9280,85025,3921353000,42487,9224
2023-09-25,9254,9130,9066,9300,85762,3931330080,42236,9168
2023-09-26,9120,8930,8890,9130,81098,3658330780,46773,9022
2023-09-27,8950,8980,8912,9040,48233,2164697040,41127,8976
2023-09-28,9018,9006,8968,9166,60168,2729822160,33209,9074
2023-10-09,8746,8620,8586,8826,53455,2319947000,43936,8680
2023-10-10,8640,8500,8488,8650,52618,2254681300,47778,8570
2023-10-11,8506,8458,8404,8526,74368,3145022720,53859,8458
2023-10-12,8438,8390,8292,8462,83094,3476652960,60530,8368
2023-10-13,8436,8404,8316,8486,91310,3835020000,62214,8400
2023-10-16,8502,8444,8402,8518,90508,3831203640,63872,8466
2023-10-17,8460,8362,8280,8506,81194,3409336060,66189,8398
2023-10-18,8332,8420,8332,8498,86598,3652703640,66680,8436
2023-10-19,8402,8400,8318,8466,78807,3308317860,66750,8396
2023-10-20,8388,8410,8350,8530,90202,3810132480,63958,8448
2023-10-23,8406,8318,8234,8432,81920,3409510400,65595,8324
2023-10-24,8336,8530,8298,8544,89732,3768744000,65482,8400
2023-10-25,8500,8460,8406,8590,164517,6977165970,67143,8482
2023-10-26,8480,8510,8464,8564,71013,3018762630,65909,8502
2023-10-27,8474,8554,8430,8596,91193,3874790570,63537,8498
2023-10-30,8552,8630,8520,8668,72051,3096751980,65204,8596
2023-10-31,8614,8638,8506,8688,84397,3633290850,64595,8610
2023-11-01,8624,8596,8566,8668,56331,2427302790,62918,8618
2023-11-02,8650,8564,8500,8650,47360,2028902400,61475,8568
2023-11-03,8574,8652,8550,8696,52730,2274244900,60070,8626
2023-11-06,8666,8558,8502,8700,97422,4176481140,67820,8574
2023-11-07,8570,8496,8466,8616,69903,2990450340,66215,8556
2023-11-08,8478,8462,8352,8492,71098,2998202660,69082,8434
2023-11-09,8428,8432,8380,8562,80455,3411292000,72143,8480
2023-11-10,8450,8470,8426,8528,59710,2530509800,74406,8476
2023-11-13,8498,8452,8378,8538,65886,2783024640,72019,8448
2023-11-14,8466,8566,8426,8606,63398,2703290720,73646,8528
2023-11-15,8540,8624,8528,8628,55339,2372936320,74552,8576
2023-11-16,8608,8778,8544,8780,63738,2751569460,79042,8634
2023-11-17,8776,8672,8630,8840,113917,4975894560,84519,8736
2023-11-20,8694,8708,8648,8772,67124,2923921440,89060,8712
2023-11-21,8722,8452,8430,8762,81928,3520446160,81361,8594
2023-11-22,8466,8416,8388,8510,54777,2315971560,77388,8456
2023-11-23,8400,8410,8324,8448,45119,1891388480,76719,8384
2023-11-24,8410,8408,8368,8448,36107,1517938280,76379,8408
2023-11-27,8404,8298,8272,8430,70021,2915674440,77447,8328
2023-11-28,8296,8258,8252,8328,37103,1537919350,77765,8290
2023-11-29,8280,8254,8206,8330,60764,2511983760,79137,8268
2023-11-30,8272,8442,8262,8476,91686,3830641080,69619,8356
2023-12-01,8446,8318,8262,8484,63217,2648160130,66977,8378
2023-12-04,8320,8278,8252,8402,50667,2109773880,67580,8328
2023-12-05,8280,8274,8190,8310,48732,2011169640,68428,8254
2023-12-06,8270,8310,8110,8342,84547,3476572640,70213,8224
2023-12-07,8290,8270,8170,8310,50637,2089788990,69488,8254
2023-12-08,8246,8338,8244,8394,57559,2399634710,71805,8338
2023-12-11,8340,8336,8282,8386,57392,2394968160,73709,8346
2023-12-12,8326,8356,8268,8426,72177,3014833290,78311,8354
2023-12-13,8346,8136,8132,8358,97062,3992160060,94084,8226
2023-12-14,8160,8098,8092,8214,82410,3359855700,103334,8154
2023-12-15,8160,8244,8132,8300,89144,3663818400,85609,8220
2023-12-18,8260,8308,8200,8330,47826,1975692060,82096,8262
2023-12-19,8300,8318,8300,8378,41594,1734885740,79041,8342
2023-12-20,8322,8492,8320,8512,63446,2672345520,82436,8424
2023-12-21,8512,8598,8450,8614,78399,3341365380,80557,8524
2023-12-22,8580,8604,8530,8674,80112,3444014880,80780,8598
2023-12-25,8614,8570,8498,8626,57315,2453082000,81522,8560
2023-12-26,8568,8544,8530,8620,43853,1879101050,82282,8570
2023-12-27,8558,8648,8546,8662,59599,2568716900,86972,8620
2023-12-28,8648,8674,8588,8724,63938,2766597260,90250,8654
2023-12-29,8650,8590,8532,8666,53743,2308261850,89466,8590
2024-01-02,8602,8614,8592,8742,48313,2091952900,89678,8660
2024-01-03,8602,8522,8478,8670,60611,2591726360,90417,8552
2024-01-04,8540,8528,8500,8638,61505,2632414000,93080,8560
2024-01-05,8526,8558,8452,8600,71390,3041927900,93058,8522
2024-01-08,8548,8370,8362,8646,105868,4497272640,87007,8496
2024-01-09,8352,8274,8266,8362,62475,2597710500,88006,8316
2024-01-10,8322,8318,8300,8372,56514,2354373240,81247,8332
2024-01-11,8328,8314,8250,8360,55927,2322648310,81898,8306
2024-01-12,8336,8364,8308,8428,59450,2487982500,83351,8370
2024-01-15,8366,8360,8320,8432,52342,2192606380,81419,8378
2024-01-16,8338,8440,8316,8478,59446,2502082140,82780,8418
2024-01-17,8450,8428,8396,8480,52230,2204106000,77738,8440
2024-01-18,8406,8474,8374,8518,66650,2819961500,79803,8462
2024-01-19,8468,8566,8460,8576,50111,2134227490,83054,8518
2024-01-22,8530,8592,8510,8614,57163,2449434550,81167,8570
2024-01-23,8596,8662,8540,8670,44181,1901108430,84592,8606
2024-01-24,8646,8730,8634,8754,59445,2581101900,92616,8684
2024-01-25,8720,8610,8600,8750,89796,3889962720,90362,8664
2024-01-26,8620,8670,8620,8748,71550,3102408000,90241,8672
2024-01-29,8670,8660,8610,8718,45824,1984637440,87156,8662
2024-01-30,8660,8654,8592,8670,38583,1665242280,85493,8632
2024-01-31,8636,8598,8550,8670,50904,2187344880,85960,8594
2024-02-01,8598,8462,8450,8602,58129,2475714110,87450,8518
2024-02-02,8462,8412,8366,8480,49383,2080011960,86048,8424
2024-02-05,8410,8404,8360,8438,35129,1474364130,84084,8394
2024-02-06,8392,8454,8372,8478,30981,1304919720,82010,8424
2024-02-07,8466,8476,8436,8508,31497,1334212920,81923,8472
2024-02-08,8488,8480,8456,8550,35348,1502290000,79641,8500
2024-02-19,8546,8550,8530,8628,36955,1586478150,83047,8586
2024-02-20,8570,8506,8460,8594,44176,1887198720,85290,8544
2024-02-21,8486,8522,8460,8582,49907,2125539130,85751,8518
2024-02-22,8520,8592,8500,8620,46061,1974174460,89911,8572
2024-02-23,8578,8550,8532,8648,56402,2424157960,91163,8596
2024-02-26,8540,8488,8478,8590,54079,2307010140,90847,8532
2024-02-27,8488,8598,8466,8608,48334,2063378460,92953,8538
2024-02-28,8594,8596,8572,8660,51613,2223488040,92809,8616
2024-02-29,8600,8606,8554,8638,45740,1966362600,96764,8598
2024-03-01,8612,8562,8520,8620,42730,1829271300,96633,8562
2024-03-04,8588,8520,8492,8650,80857,3465531020,97035,8572
2024-03-05,8520,8360,8350,8522,100914,4248479400,110687,8420
2024-03-06,8372,8416,8362,8448,79788,3351893880,93218,8402
2024-03-07,8416,8378,8360,8430,38111,1599899780,97689,8396
2024-03-08,8344,8334,8306,8368,79231,3300763460,109221,8332
2024-03-11,8308,8316,8266,8362,56632,2352493280,110481,8308
2024-03-12,8320,8322,8302,8380,49543,2064952240,110961,8336
2024-03-13,8318,8324,8292,8350,41579,1730102190,108903,8322
2024-03-14,8372,8458,8320,8464,80252,3368176440,97561,8394
2024-03-15,8480,8520,8460,8558,83699,3563903420,86857,8516
2024-03-18,8510,8522,8436,8536,51885,2203555950,81513,8494
2024-03-19,8520,8562,8508,8580,47707,2038997180,78883,8548
2024-03-20,8582,8462,8460,8582,40853,1738703680,78415,8512
2024-03-21,8418,8330,8302,8418,73650,3074151000,74141,8348
2024-03-22,8326,8344,8308,8368,34904,1454798720,74512,8336
2024-03-25,8372,8358,8348,8424,51697,2166621270,72547,8382
2024-03-26,8384,8374,8368,8458,44208,1859830560,68552,8414
2024-03-27,8418,8430,8404,8476,41874,1767920280,65123,8444
2024-03-28,8424,8478,8400,8510,35291,1493515120,63000,8464
2024-03-29,8504,8444,8424,8520,33151,1404276360,58574,8472
2024-04-01,8460,8528,8428,8550,35019,1488307500,55527,8500
2024-04-02,8730,8830,8698,8840,46830,2054432100,74613,8774
2024-04-03,8848,8818,8776,8896,71172,3142243800,81335,8830
